ID,Phase,Category,Task,Why,Status,Notes
1,Setup,Business Formation,Research STR ordinances in your county and municipality,Ordinances vary by county and can prohibit STR outright or require permits before you close on a property,,
2,Setup,Business Formation,Verify HOA rules and deed restrictions allow STR,HOA or deed restrictions can override county permitting — check before you buy,,
3,Setup,Business Formation,Form an LLC for the property,Protects personal assets from guest liability claims — each property ideally in its own LLC,,
4,Setup,Business Formation,Get an EIN from IRS.gov,Required to open a business bank account and file taxes — free and takes 5 minutes online,,
5,Setup,Business Formation,Open a dedicated business bank account,Commingling personal and business funds can pierce your LLC liability protection,,
6,Setup,Business Formation,Get a business credit card,Keeps all STR expenses separate and trackable for tax purposes,,
7,Setup,Business Formation,Set up bookkeeping software,STR income and expenses need to be tracked from day one — not retroactively,,
8,Setup,Business Formation,Consult a CPA familiar with STR tax rules,Short-term rentals have unique tax treatment — depreciation bonus deductions and the 14-day rule matter,,
9,Setup,Property,Confirm the property is in a legal STR zone,Zoning can allow residential use but prohibit commercial rental activity,,
10,Setup,Property,Pull the county permit requirements for STR,Some counties require a business license or STR-specific permit before first guest,,
11,Setup,Property,Schedule any required county inspections,Smoke detector placement and type are commonly regulated — Fannin County has specific requirements,,
12,Setup,Property,Hire a home designer for guest-oriented layout,Designing for guests is different from designing for owners — flow, light, and durability matter,,
13,Setup,Property,Take a full property inventory before first guest,Documents existing condition of the property and its contents for insurance and damage claims,,
14,Setup,Equipment,Install high-speed WiFi with a dedicated guest network,Guests consider WiFi a utility — slow or unreliable WiFi is a top review complaint,,
15,Setup,Equipment,Install a smart lock with keypad or app-based entry,Eliminates physical key handoff and lets you change codes between guests remotely,,
16,Setup,Equipment,Install exterior security cameras (Ring or equivalent),Deters damage and theft — interior cameras are prohibited on all platforms,,
17,Setup,Equipment,Install smoke detectors per county requirements,Required by county ordinance in most jurisdictions — confirm type and placement before listing,,
18,Setup,Equipment,Install carbon monoxide detectors,Required by Airbnb and VRBO — required by law in most states if property has gas or attached garage,,
19,Setup,Equipment,Install fire extinguishers in kitchen and common areas,Required by most platforms — document location in your house manual,,
20,Setup,Equipment,Stock kitchen with guest-ready essentials,Cookware, utensils, dishes, glasses, coffee maker, basics — guests expect a functional kitchen,,
21,Setup,Equipment,Stock bathrooms with starter supplies,Soap, shampoo, conditioner, toilet paper, towels — enough for the first night minimum,,
22,Setup,Equipment,Purchase quality linens and bedding,Bedding is one of the top drivers of 5-star reviews — do not cut corners here,,
23,Setup,Equipment,Set up turnover cleaning kit and process,Your cleaner needs the right supplies and a consistent process — build it before the first checkout,,
24,Setup,Equipment,Install outdoor lighting for safety and ambiance,Dark entry areas are a safety issue and a guest experience issue,,
25,Setup,Equipment,Set up outdoor seating and fire pit if applicable,Outdoor living space is a top amenity search filter on Airbnb — document it in your listing,,
26,Setup,Vendors,Find and vet a reliable turnover cleaner,Your cleaner is your most important vendor — a bad turnover costs you reviews,,
27,Setup,Vendors,Find and vet a handyman for quick repairs,Mountain properties need someone who can respond fast when something breaks before a check-in,,
28,Setup,Vendors,Find and vet a licensed electrician,Required for permit inspections and any electrical work the county requires,,
29,Setup,Vendors,Find and vet a licensed plumber,Water issues in a rental property need a fast reliable response,,
30,Setup,Vendors,Find and vet an HVAC technician,Mountain winters and summer heat — guests will leave bad reviews over HVAC failures,,
31,Setup,Vendors,Find and vet a landscaper,Curb appeal matters for listing photos and first impressions on arrival day,,
32,Setup,Vendors,Find and vet a pest control service,Mountain cabins need preventive pest treatment — ants and rodents are common,,
33,Setup,Vendors,Find and vet a septic service for pump and maintenance,Know your pump schedule before you have a problem during a guest stay,,
34,Stay,Accounts,Create an Airbnb host account,Largest short-term rental platform by volume — required for most STR markets,,
35,Stay,Accounts,Create a VRBO host account,Second largest platform — different guest demographic often skews older and books longer stays,,
36,Stay,Accounts,Create a Houfy account for direct bookings,Fee-free direct booking platform — use it to save guests the Airbnb service fee on repeat stays,,
37,Stay,Accounts,Set up payment processing for direct bookings,Stripe or Square — needed to accept direct bookings off-platform,,
38,Stay,Listing,Hire a professional photographer,Listing photos are your most important marketing asset — phone photos cost you bookings,,
39,Stay,Listing,Write a keyword-rich listing title,Title drives search visibility — include property name and top 3-4 guest-relevant features,,
40,Stay,Listing,Write your full listing description,Cover what makes the property unique — be specific about location amenities and access,,
41,Stay,Listing,Set all amenities accurately in the platform,Airbnb and VRBO surface listings based on amenity filters guests apply — missing amenities = missed bookings,,
42,Stay,Listing,Write clear house rules,Set expectations before booking — guest screening starts with rules that discourage bad fits,,
43,Stay,Listing,Set your base nightly rate and cleaning fee,Research comparable properties on AirDNA before setting — do not guess on pricing,,
44,Stay,Listing,Set pet fee if allowing dogs,Dog-friendly is a premium filter on both platforms — charge appropriately for the wear,,
45,Stay,Listing,Set minimum night requirements by day of week,Minimum nights protect you from unprofitable short gaps — match to your market booking patterns,,
46,Stay,Listing,Set check-in and check-out times,Build enough turnover buffer for your cleaner — back-to-back same-day turnovers are high risk,,
47,Stay,Listing,Set your cancellation policy,Strict cancellation policies reduce last-minute cancellations but can suppress bookings — know the tradeoff,,
48,Stay,Calendar,Set up rule sets for lead time and minimum nights,Different lead times require different minimums — last-minute bookings and far-out bookings behave differently,,
49,Stay,Calendar,Set up seasonal pricing,Peak season and shoulder season should have different base rates,,
50,Stay,Calendar,Set up holiday pricing and blocking,Apple Festival weekends and holiday weekends need special handling — decide now not in the moment,,
51,Stay,Calendar,Sync calendars between platforms with iCal,Unsynchronized calendars cause double bookings — a serious platform violation on both Airbnb and VRBO,,
52,Stay,Messaging,Write your instant booking welcome message,First impression after booking — confirm details and set expectations immediately,,
53,Stay,Messaging,Write your pre-arrival message (48 hours before),Send check-in instructions and a reminder of house rules before they leave home,,
54,Stay,Messaging,Write your check-in day message,Confirm arrival and give them a contact number for any issues,,
55,Stay,Messaging,Write your mid-stay check-in message,A brief check-in at day 2-3 catches problems before they become reviews,,
56,Stay,Messaging,Write your check-out reminder message,Remind guests of check-out time and any specific instructions the night before,,
57,Stay,Messaging,Write your post-stay review request message,Ask for the review promptly — review rate drops significantly after 48 hours,,
58,Stay,Screening,Enable ID verification requirement on Airbnb,Reduces party risk and gives you a paper trail if damage occurs,,
59,Stay,Screening,Set a minimum reviews requirement where possible,New accounts with no reviews are higher risk — balance this against filling your calendar early on,,
60,Stay,Screening,Define your guest count verification policy,Know your process for handling guests who arrive with more people than booked,,
61,Stay,Regional Site,List your property on a regional STR platform,Regional platforms attract guests who are already searching your specific area and ready to book,,
62,Stay,Facebook,Create a Facebook Business Page for your property,Required to run paid ads and builds a long-term organic following,,
63,Stay,Facebook,Install Meta Pixel on your website,Enables retargeting of website visitors — your most qualified ad audience,,
64,Stay,Facebook,Launch your first cold Facebook ad campaign,Target your proven booking states — GA and FL first for North Georgia mountain properties,,
65,Stream,Marketing,Order or design branded signage for the property,Window decals and yard signs drive direct booking awareness from guests already on property,,
66,Stream,Marketing,Design and order business cards for vendors and repeat guests,Simple direct booking card with your website and contact — leave in the cabin and hand to cleaners,,
67,Stream,Marketing,Set up a Printify store for branded merchandise,Guests who loved the stay will buy branded merch — passive revenue with no inventory,,
68,Stream,Marketing,Create a cabin items page with affiliate links,Guests always ask what products you use — an affiliate page turns that into income,,
69,Stream,Amazon,Apply for Amazon Associates,Required before you can earn commissions on product links — approval takes 1-3 days,,
70,Stream,Amazon,Build your curated guest items page,Link every product in your cabin — soap shampoo coffee maker pillows outdoor gear everything,,
71,Stream,Analytics,Set up Google Analytics 4 on your website,Tracks who is visiting your site where they came from and what they do before booking,,
72,Stream,Analytics,Set up Google Tag Manager,Manages all tracking tags from one place without touching code for every change,,
73,Stream,Analytics,Submit your site to Google Search Console,Tells you what search terms are bringing guests to your site and flags any indexing issues,,
74,Stream,Analytics,Build a Looker Studio performance dashboard,Connects GA4 bookings and channel data in one place so you can see what is actually working,,
75,Stream,Analytics,Review AirDNA data monthly for pricing adjustments,Your market changes seasonally — static pricing leaves money on the table,,
