ID,Region,Category,Business_Name,Contact_Name,Phone,Email,Website,Outreach_Date,Outreach_Status,Listing_Tier,Fee_Paid,Paid_Date,Expiration_Date,Notes
1,Fannin-Union GA,Cleaning,,,,,,,Not Started,,,,,
2,Fannin-Union GA,Photography,,,,,,,Not Started,,,,,
3,Fannin-Union GA,Handyman,,,,,,,Not Started,,,,,
4,Fannin-Union GA,Electrician,,,,,,,Not Started,,,,,
5,Fannin-Union GA,Plumber,,,,,,,Not Started,,,,,
6,Fannin-Union GA,HVAC,,,,,,,Not Started,,,,,
7,Fannin-Union GA,Landscaping,,,,,,,Not Started,,,,,
8,Fannin-Union GA,Pest Control,,,,,,,Not Started,,,,,
9,Fannin-Union GA,Septic,,,,,,,Not Started,,,,,
10,Fannin-Union GA,Real Estate,,,,,,,Not Started,,,,,
